Property Type,Address,Region,Rent,Total Rent,Area,Rooms,Bathrooms,Garage,Furnished
Apartamento,Rua Miguel Fernandes,Méier,945.0,1.422,60,2,1,1.0,0
Apartamento,Avenida Guilherme Maxwel,Bonsucesso,1.4,2.008,44,2,1,1.0,0
Apartamento,Rua Coronel Almeida,Piedade,770.0,1.262,30,2,1,0.0,0
Apartamento,Rua Honório de Barros,Flamengo,2.8,3.628,48,1,1,0.0,1
Apartamento,Rua Evaristo da Veiga,Centro,735.0,1.567,27,1,1,0.0,0
Casa em condomínio,Rua Aquidabã,Méier,1.43,1.873,85,2,1,1.0,0
Apartamento,Rua Constancio Alves,Lins de Vasconcelos,1.734,2.059,120,2,2,1.0,0
Apartamento,Rua Lima Barros,São Cristóvão,1.4,2.465,42,2,1,0.0,0
Apartamento,Avenida Salvador Allende,Recreio dos Bandeirantes,2.3,3.075,50,2,1,1.0,1
Apartamento,Rua Goianinha,Curicica,1.45,1.856,43,2,1,1.0,0
Apartamento,Rua Goianinha,Curicica,1.179,1.575,45,2,1,1.0,0
Apartamento,Avenida Tenente Coronel Muniz de Aragão,Anil,2.42,3.294,53,2,1,1.0,1
Casa,Rua João Machado,Irajá,1.3,1.322,80,2,3,0.0,0
Studio e kitnet,Praça Tiradentes,Centro,1.35,2.106,30,1,1,0.0,1
Apartamento,Avenida Salvador Allende,Recreio dos Bandeirantes,2.157,2.889,60,2,1,1.0,0
Studio e kitnet,Rua Pio Correia,Jardim Botânico,3.5,4.006,26,1,1,0.0,0
Apartamento,Rua Borja Reis,Engenho de Dentro,900.0,1.465,54,2,1,1.0,0
Casa,Rua Divino Salvador,Piedade,1.3,1.419,50,2,1,0.0,0
Apartamento,Avenida Henrique Dumont,Ipanema,3.2,4.027,50,1,1,0.0,0
Apartamento,Rua Capitão Resende,Cachambi,1.0,1.491,59,2,1,0.0,0
Apartamento,Rua Arquias Cordeiro,Méier,1.07,1.603,48,2,1,1.0,0
Studio e kitnet,Rua Riachuelo,Centro,1.111,1.653,25,1,1,0.0,0
Casa,Rua Nacional,Taquara,1.8,1.964,175,2,1,1.0,1
Casa,Travessa Cordeiro,Abolição,1.59,1.702,88,2,1,1.0,0
Apartamento,Estrada do Rio Grande,Taquara,1.5,2.123,56,2,2,1.0,0
Apartamento,Rua Piauí,Todos Os Santos,1.69,2.225,49,2,1,1.0,0
Apartamento,Rua Garibaldi,Tijuca,2.2,3.479,95,2,2,1.0,0
Apartamento,Rua Camarista Méier,Engenho de Dentro,1.2,1.702,46,2,1,0.0,0
Apartamento,Rua Santa Cristina,Santa Teresa,1.292,1.866,30,1,1,0.0,0
Apartamento,Rua Doutor Manuel Cotrim,Riachuelo,1.1,1.343,61,2,1,0.0,0
Apartamento,Rua Doutor Satamini,Tijuca,2.3,3.633,65,2,2,1.0,0
Apartamento,Rua da Passagem,Botafogo,4.0,4.305,65,2,2,0.0,0
Apartamento,Rua General Espírito Santo Cardoso,Tijuca,2.5,3.939,80,3,2,1.0,0
Casa,Rua Oswaldo Lussac,Taquara,1.39,2.011,55,2,2,1.0,0
Apartamento,Rua Félix da Cunha,Tijuca,2.2,3.096,70,2,2,1.0,0
Apartamento,Rua Senador Euzebio,Flamengo,2.8,3.781,48,1,1,0.0,1
Studio e kitnet,Rua Domingos Ferreira,Copacabana,1.792,2.671,30,1,1,0.0,0
Apartamento,Avenida Tenente-coronel Muniz de Aragão,Anil,2.2,2.785,47,2,1,1.0,1
Apartamento,Rua Padre Manso,Madureira,650.0,1.188,50,1,1,1.0,0
Apartamento,Rua Miguel Fernandes,Méier,1.2,1.652,72,2,1,1.0,0
Apartamento,Rua Conde de Azambuja,Maria da Graça,1.453,2.024,47,2,2,0.0,0
Apartamento,Rua João Romariz,Ramos,1.2,1.759,44,1,1,1.0,0
Apartamento,Rua Goiás,Engenho de Dentro,641.0,966.0,35,1,1,0.0,0
Apartamento,Rua Joaquim Meier,Méier,1.21,2.033,72,3,2,0.0,0
Apartamento,Rua dos Prazeres,Taquara,1.044,1.415,55,2,1,0.0,0
Apartamento,Rua Torres Homem,Vila Isabel,2.0,2.752,58,2,2,1.0,0
Apartamento,Rua Dois de Fevereiro,Água Santa,950.0,1.017,45,1,1,0.0,0
Apartamento,Rua Retiro dos Artistas,Pechincha,2.4,3.095,65,2,2,1.0,0
Apartamento,Rua Paulo Moreira da Silva,Taquara,900.0,1.331,56,2,1,1.0,0
Apartamento,Rua Goianinha,Curicica,1.23,1.605,45,2,1,1.0,0
Casa,"R. Gastão Taveira, 9 - Praça Seca, Rio de Janeiro - Rj, 21321-160, Brasil",Praça Seca,1.3,1.355,60,2,2,0.0,0
Apartamento,Rua Paramopama,Ribeira,1.1,1.768,44,1,1,1.0,0
Apartamento,Rua Estremadura,Irajá,1.59,2.193,47,2,1,1.0,0
Apartamento,Rua Antônio Cordeiro,Jacarepaguá,2.344,3.19,80,2,2,1.0,0
Apartamento,Rua Barata Ribeiro,Copacabana,2.414,3.603,55,1,2,0.0,0
Apartamento,Rua Vinte E Quatro de Maio,Meier,1.1,1.787,50,1,1,1.0,0
Apartamento,Avenida Geremário Dantas,Pechincha,1.35,1.944,50,2,1,1.0,1
Apartamento,Rua Mileto Maciel,Cacuia,2.0,2.077,60,4,2,0.0,0
Apartamento,Rua Boiaca,Bento Ribeiro,1.002,1.09,35,1,1,1.0,0
Apartamento,Avenida Engenheiro Octacílio Negrão de Lima,Vila Isabel,1.8,2.711,70,2,2,1.0,0
Apartamento,Rua Farani,Botafogo,2.05,2.7,38,1,1,0.0,0
Apartamento,Estrada da Covanca,Tanque,1.8,2.43,80,3,2,1.0,0
Apartamento,Avenida Monsenhor Félix,Irajá,1.0,1.288,50,2,1,1.0,0
Apartamento,Rua Gonzaga Bastos,Vila Isabel,2.0,3.165,96,2,2,1.0,0
