Property Type,Address,Region,Rent,Total Rent,Area,Rooms,Bathrooms,Garage,Furnished
Apartamento,Rua Miguel Fernandes,Méier,945,1422,60,2,1,1.0,0
Apartamento,Avenida Guilherme Maxwel,Bonsucesso,1400,2008,44,2,1,1.0,0
Apartamento,Rua Coronel Almeida,Piedade,770,1262,30,2,1,0.0,0
Apartamento,Rua Honório de Barros,Flamengo,2800,3628,48,1,1,0.0,1
Apartamento,Rua Evaristo da Veiga,Centro,735,1567,27,1,1,0.0,0
Casa em condomínio,Rua Aquidabã,Méier,1430,1873,85,2,1,1.0,0
Apartamento,Rua Constancio Alves,Lins de Vasconcelos,1734,2059,120,2,2,1.0,0
Apartamento,Rua Lima Barros,São Cristóvão,1400,2465,42,2,1,0.0,0
Apartamento,Avenida Salvador Allende,Recreio dos Bandeirantes,2300,3075,50,2,1,1.0,1
Apartamento,Rua Goianinha,Curicica,1450,1856,43,2,1,1.0,0
Apartamento,Rua Goianinha,Curicica,1179,1575,45,2,1,1.0,0
Apartamento,Avenida Tenente Coronel Muniz de Aragão,Anil,2420,3294,53,2,1,1.0,1
Casa,Rua João Machado,Irajá,1300,1322,80,2,3,0.0,0
Studio e kitnet,Praça Tiradentes,Centro,1350,2106,30,1,1,0.0,1
Apartamento,Avenida Salvador Allende,Recreio dos Bandeirantes,2157,2889,60,2,1,1.0,0
Studio e kitnet,Rua Pio Correia,Jardim Botânico,3500,4006,26,1,1,0.0,0
Apartamento,Rua Borja Reis,Engenho de Dentro,900,1465,54,2,1,1.0,0
Casa,Rua Divino Salvador,Piedade,1300,1419,50,2,1,0.0,0
Apartamento,Avenida Henrique Dumont,Ipanema,3200,4027,50,1,1,0.0,0
Apartamento,Rua Capitão Resende,Cachambi,1000,1491,59,2,1,0.0,0
Apartamento,Rua Arquias Cordeiro,Méier,1070,1603,48,2,1,1.0,0
Studio e kitnet,Rua Riachuelo,Centro,1111,1653,25,1,1,0.0,0
Casa,Rua Nacional,Taquara,1800,1964,175,2,1,1.0,1
Casa,Travessa Cordeiro,Abolição,1590,1702,88,2,1,1.0,0
Apartamento,Estrada do Rio Grande,Taquara,1500,2123,56,2,2,1.0,0
Apartamento,Rua Piauí,Todos Os Santos,1690,2225,49,2,1,1.0,0
Apartamento,Rua Garibaldi,Tijuca,2200,3479,95,2,2,1.0,0
Apartamento,Rua Camarista Méier,Engenho de Dentro,1200,1702,46,2,1,0.0,0
Apartamento,Rua Santa Cristina,Santa Teresa,1292,1866,30,1,1,0.0,0
Apartamento,Rua Doutor Manuel Cotrim,Riachuelo,1100,1343,61,2,1,0.0,0
Apartamento,Rua Doutor Satamini,Tijuca,2300,3633,65,2,2,1.0,0
Apartamento,Rua da Passagem,Botafogo,4000,4305,65,2,2,0.0,0
Apartamento,Rua General Espírito Santo Cardoso,Tijuca,2500,3939,80,3,2,1.0,0
Casa,Rua Oswaldo Lussac,Taquara,1390,2011,55,2,2,1.0,0
Apartamento,Rua Félix da Cunha,Tijuca,2200,3096,70,2,2,1.0,0
Apartamento,Rua Senador Euzebio,Flamengo,2800,3781,48,1,1,0.0,1
Studio e kitnet,Rua Domingos Ferreira,Copacabana,1792,2671,30,1,1,0.0,0
Apartamento,Avenida Tenente-coronel Muniz de Aragão,Anil,2200,2785,47,2,1,1.0,1
Apartamento,Rua Padre Manso,Madureira,650,1188,50,1,1,1.0,0
Apartamento,Rua Miguel Fernandes,Méier,1200,1652,72,2,1,1.0,0
Apartamento,Rua Conde de Azambuja,Maria da Graça,1453,2024,47,2,2,0.0,0
Apartamento,Rua João Romariz,Ramos,1200,1759,44,1,1,1.0,0
Apartamento,Rua Goiás,Engenho de Dentro,641,966,35,1,1,0.0,0
Apartamento,Rua Joaquim Meier,Méier,1210,2033,72,3,2,0.0,0
Apartamento,Rua dos Prazeres,Taquara,1044,1415,55,2,1,0.0,0
Apartamento,Rua Torres Homem,Vila Isabel,2000,2752,58,2,2,1.0,0
Apartamento,Rua Dois de Fevereiro,Água Santa,950,1016,45,1,1,0.0,0
Apartamento,Rua Retiro dos Artistas,Pechincha,2400,3095,65,2,2,1.0,0
Apartamento,Rua Paulo Moreira da Silva,Taquara,900,1331,56,2,1,1.0,0
Apartamento,Rua Goianinha,Curicica,1230,1605,45,2,1,1.0,0
Casa,"R. Gastão Taveira, 9 - Praça Seca, Rio de Janeiro - Rj, 21321-160, Brasil",Praça Seca,1300,1355,60,2,2,0.0,0
Apartamento,Rua Paramopama,Ribeira,1100,1768,44,1,1,1.0,0
Apartamento,Rua Estremadura,Irajá,1590,2193,47,2,1,1.0,0
Apartamento,Rua Antônio Cordeiro,Jacarepaguá,2344,3190,80,2,2,1.0,0
Apartamento,Rua Barata Ribeiro,Copacabana,2414,3603,55,1,2,0.0,0
Apartamento,Rua Vinte E Quatro de Maio,Meier,1100,1787,50,1,1,1.0,0
Apartamento,Avenida Geremário Dantas,Pechincha,1350,1944,50,2,1,1.0,1
Apartamento,Rua Mileto Maciel,Cacuia,2000,2077,60,4,2,0.0,0
Apartamento,Rua Boiaca,Bento Ribeiro,1002,1090,35,1,1,1.0,0
Apartamento,Avenida Engenheiro Octacílio Negrão de Lima,Vila Isabel,1800,2711,70,2,2,1.0,0
Apartamento,Rua Farani,Botafogo,2050,2700,38,1,1,0.0,0
Apartamento,Estrada da Covanca,Tanque,1800,2430,80,3,2,1.0,0
Apartamento,Avenida Monsenhor Félix,Irajá,1000,1288,50,2,1,1.0,0
Apartamento,Rua Gonzaga Bastos,Vila Isabel,2000,3165,96,2,2,1.0,0
Casa,Rua Raul Barroso,Engenho Novo,1800,1877,60,2,1,0.0,0
Apartamento,Rua Eudoro Berlinck,Higienópolis,774,1301,70,2,1,0.0,0
Apartamento,Avenida Pastor Martin Luther King Jr,Vicente de Carvalho,1200,1762,48,2,1,1.0,0
Apartamento,Estrada Adhemar Bebiano,Del Castilho,1162,1561,46,2,1,1.0,0
Apartamento,Rua Vinte E Quatro de Maio,Riachuelo,1200,1847,57,2,1,1.0,0
Studio e kitnet,Rua Ubaldino do Amaral,Centro,1200,1757,30,1,1,0.0,0
Apartamento,Rua Prazeres,Taquara,1062,1423,57,2,1,0.0,0
Apartamento,Rua Santa Clara,Copacabana,2900,3785,40,1,1,0.0,1
Studio e kitnet,Rua Voluntários da Pátria,Botafogo,1881,2629,36,1,1,0.0,0
